Unit	F	f_deepseek_neg	score_deepseek_neg	f_deepseek_pos	score_deepseek_pos	f_gpt_neg	score_gpt_neg	f_gpt_pos	score_gpt_pos	f_hum_neg	score_hum_neg	f_hum_pos	score_hum_pos
整体	859	15	-32.4485	23	-23.9672	128	1.7159	601	1000.0	20	-75.4703	72	-34.6106
浴室	774	78	-2.1192	67	-3.2523	438	187.3784	102	0.4593	40	-47.5846	49	-41.0892
发现	766	147	6.0644	76	-1.7358	303	79.082	17	-24.8337	137	-5.4595	86	-20.4275
设施	757	14	-27.9713	32	-14.1693	25	-18.2233	64	-3.7973	314	23.4264	308	21.3816
：	734	4	-37.6042	21	-19.6524	16	-23.4769	1	-41.1457	291	18.4299	401	66.2419
时候	729	95	0.2976	40	-9.5735	117	2.5721	141	6.6784	186	0.4907	150	-2.3464
小	724	41	-10.1897	167	14.7622	47	-7.0413	81	-0.8953	174	-0.4538	214	2.742
对	720	78	-1.3468	105	1.3357	120	3.2114	64	-3.0386	149	-2.212	204	1.8174
来	718	92	-0.3272	111	2.0351	69	-2.0011	110	1.6929	191	0.8839	145	-2.6448
后	717	107	1.1489	105	1.3759	121	3.4427	58	-4.1936	208	2.3076	118	-7.2952
这	716	186	20.032	146	8.9262	13	-25.0975	17	-22.3892	234	6.0019	120	-6.8037
太	714	47	-7.6712	133	5.8887	127	4.5853	59	-3.9055	241	7.4105	107	-9.9026
结果	704	112	1.8536	45	-7.005	271	67.8682	74	-1.3371	152	-1.5454	50	-33.8723
不是	699	79	-1.0013	143	8.8579	72	-1.3564	37	-10.2417	188	1.0023	180	0.5502
用	695	148	9.0406	111	2.4604	97	0.8882	57	-3.9124	194	1.5316	88	-14.7571
体验	679	43	-7.9066	42	-7.2437	204	33.0508	363	142.4735	18	-57.3931	9	-68.317
舒服	675	20	-19.1587	103	1.784	181	23.0846	180	21.9427	57	-27.094	134	-2.821
等	671	120	3.7296	38	-8.4167	203	33.3536	72	-1.1437	137	-2.3153	101	-9.2343
这个	671	42	-7.9952	86	0.4049	12	-23.7219	29	-12.8586	306	31.211	196	2.3271
大	670	44	-7.2777	104	1.9925	50	-4.7147	107	2.1494	135	-2.5303	230	7.7471
一	661	151	11.5431	90	0.7228	149	12.3015	67	-1.5766	149	-0.9836	55	-27.0629
价格	654	11	-25.2486	32	-10.28	37	-8.3257	41	-7.222	224	7.5123	309	34.9229
退房	652	118	3.8917	129	7.1967	93	1.0301	104	2.0917	139	-1.6368	69	-19.3288
一般	650	3	-34.1177	5	-29.6869	95	1.2431	60	-2.415	288	26.9126	199	3.3971
又	647	118	4.0321	78	-0.3778	81	0.2997	18	-18.3648	241	11.9731	111	-5.6771
环境	635	12	-23.3431	1	-34.626	16	-18.7508	171	21.3779	129	-2.3015	306	36.6022
不会	635	11	-24.2391	42	-5.944	13	-21.0836	339	132.8727	203	4.6452	27	-44.025
服务员	628	49	-4.6005	36	-7.7607	3	-31.2471	2	-33.3104	324	46.6296	214	6.9909
会	626	25	-13.8436	70	-0.7182	129	8.1676	65	-1.334	113	-4.4063	224	9.3009
多	623	43	-6.148	76	-0.3328	63	-1.3991	120	5.7125	151	-0.3868	170	1.1069
差	620	13	-21.7095	7	-25.7904	64	-1.2436	0	-36.4669	468	154.4263	68	-17.3804
这家	620	42	-6.3707	161	19.3273	33	-8.7456	90	1.0304	161	0.6035	133	-1.5178
特别	619	26	-13.0024	95	1.7502	173	24.2437	105	2.9341	78	-13.3314	142	-0.796
客人	618	81	0.315	28	-10.7812	103	2.8527	9	-24.3138	206	6.0255	191	3.5152
吃	617	53	-3.403	121	6.5909	55	-2.4787	137	10.4347	108	-4.9899	143	-0.7069
还有	613	76	-0.4466	61	-1.4718	127	8.198	9	-24.0512	155	0.4109	185	2.8892
过	610	80	0.3168	65	-0.9896	44	-4.7521	15	-18.7832	245	16.4575	161	0.7342
觉得	609	35	-8.4856	68	-0.7172	191	33.7323	137	10.8501	70	-15.707	108	-4.688
问题	595	49	-3.7699	9	-22.4771	122	7.6422	172	25.1602	116	-2.8364	127	-1.5395
位置	590	26	-11.7926	43	-4.4366	74	0.3043	151	16.8234	122	-1.9305	174	2.3097
像	590	194	34.9521	105	3.9945	184	32.1835	21	-13.8583	57	-20.0631	29	-37.7066
个	583	132	9.9317	114	6.1916	12	-19.3572	9	-22.4808	171	2.199	145	0.3118
看	563	89	1.5301	127	10.7555	94	2.6843	43	-4.0404	106	-3.2873	104	-3.6373
自己	556	168	25.6978	83	1.3543	53	-1.7351	8	-22.0285	152	1.0725	92	-5.7169
什么	537	82	1.1655	38	-4.4049	26	-8.7727	51	-1.8626	235	21.2875	105	-2.5943
直接	530	84	1.4983	80	1.4173	112	7.8077	159	25.2011	48	-19.7212	47	-20.2905
明显	528	46	-2.8667	1	-28.537	356	188.8747	78	1.0788	25	-34.5396	22	-37.1285
把	522	148	19.8434	117	9.7984	6	-21.8043	11	-17.606	159	2.7701	81	-6.7142
房	521	62	-0.5983	26	-8.111	14	-14.8765	15	-14.5715	215	16.0571	189	8.5008
携程	518	0	-31.3258	0	-29.841	0	-29.9695	0	-30.4642	336	81.9816	182	7.0774
声音	513	61	-0.5983	33	-5.2241	192	46.2591	104	6.0809	85	-5.2824	38	-23.9365
而且	512	34	-5.6014	25	-8.2241	76	1.2098	1	-28.2344	210	15.3695	166	4.2585
电梯	508	79	1.2834	49	-1.514	167	32.3335	91	3.3772	65	-10.7364	57	-13.8496
隔音	506	50	-1.7191	62	-0.3105	101	5.9104	79	1.534	124	-0.3196	90	-3.9635
但是	499	21	-10.5971	12	-15.2016	0	-28.8697	3	-24.5295	201	13.8181	262	39.5645
起来	498	80	1.5727	55	-0.7082	95	4.7719	204	55.4506	38	-22.5411	26	-30.7541
大堂	497	84	2.1449	121	12.6219	9	-17.6329	37	-3.8895	107	-1.2732	139	1.2619
“	495	91	3.387	52	-0.9623	80	2.0267	81	2.0176	102	-1.7517	89	-3.7128
需要	494	40	-3.3972	30	-5.6478	185	44.6539	78	1.6222	83	-4.8588	78	-6.0524
走	494	95	4.2251	73	1.1782	64	0.4079	70	0.7639	103	-1.6126	89	-3.6735
”	492	91	3.4764	52	-0.926	80	2.0904	81	2.0817	99	-2.0353	89	-3.5955
安静	489	25	-8.2489	74	1.3713	31	-5.2193	249	91.9617	22	-32.9986	88	-3.6615
比	484	36	-4.1646	73	1.3336	34	-4.1573	127	15.1817	98	-1.9345	116	-0.4338
这里	479	6	-20.6698	35	-3.6983	16	-11.6761	188	47.8935	91	-2.764	143	2.2017
真的	477	58	-0.4911	113	11.0427	84	3.1402	32	-4.7686	101	-1.4103	89	-3.0334
一点	476	27	-6.9253	58	-0.3246	50	-0.9664	123	14.2043	100	-1.4914	118	0.2936
2	474	0	-28.6636	1	-25.4708	0	-27.4226	0	-27.8752	258	42.6871	215	21.8176
完全	472	76	1.542	70	1.1759	196	55.4748	44	-1.8349	61	-9.8193	25	-28.9143
很多	462	15	-12.4585	47	-1.1015	76	2.1349	79	2.4592	97	-1.4694	148	3.6108
想	462	114	11.0859	52	-0.6034	80	2.8111	33	-4.0421	99	-1.2636	84	-3.3395
早上	458	81	2.6041	62	0.5979	85	3.9217	69	1.1427	102	-0.9143	59	-9.6477
吧	454	75	1.7594	44	-1.3763	13	-12.4931	22	-7.7832	153	4.9566	147	3.825
不过	449	1	-25.3179	14	-11.5258	4	-20.1089	57	0.2907	90	-1.9528	283	65.0579
宾馆	448	0	-27.0906	3	-21.157	0	-25.9176	0	-26.3454	160	6.8523	285	66.8129
再	443	54	-0.4709	31	-3.8422	26	-5.5113	26	-5.742	196	18.5475	110	0.2996
睡	442	67	0.9946	89	5.5288	90	5.7187	124	17.2708	52	-11.1468	20	-29.8514
走廊	442	78	2.5062	41	-1.6298	178	48.1965	64	0.8524	59	-8.6051	22	-28.2241
态度	441	21	-8.2168	10	-13.9677	34	-3.048	82	3.6226	181	13.4072	113	0.4537
带	441	53	-0.5233	111	12.6497	71	1.8296	114	13.2443	43	-15.0131	49	-12.332
那种	440	48	-0.9682	105	10.521	74	2.3254	166	39.8095	25	-25.6912	22	-28.021
因为	440	37	-2.7739	59	0.5471	9	-14.8062	6	-17.8742	170	10.1051	159	7.1601
!	440	0	-26.6066	0	-25.3455	0	-25.4546	0	-25.8747	245	42.8573	195	18.5083
知道	439	88	4.6383	30	-4.0214	54	-0.3061	5	-18.8496	176	12.0046	86	-2.2084
已经	438	96	6.7517	81	3.7754	25	-5.7179	27	-5.2185	124	1.3241	85	-2.3215
他们	438	62	0.5959	38	-2.0789	3	-20.7125	31	-3.9461	210	25.1352	94	-1.2193
找	436	72	1.7085	19	-8.1732	74	2.4243	30	-4.1837	158	7.2385	83	-2.5595
）	435	0	-26.3041	1	-23.2599	0	-25.1652	13	-11.952	208	24.7174	213	26.9515
你	434	81	3.2908	45	-0.9623	15	-10.3366	9	-14.8594	222	31.5706	62	-7.2017
卫生间	432	37	-2.5862	46	-0.8291	39	-1.8158	56	0.3507	120	1.0996	134	2.733
不好	431	20	-8.2979	19	-7.98	58	0.5424	5	-18.4184	223	32.6544	106	-0.3036
一直	430	41	-1.7777	21	-7.0119	227	89.329	32	-3.4515	61	-7.2467	48	-11.9506
这次	421	12	-12.5283	58	0.6624	18	-8.1559	162	40.1332	60	-7.0271	111	0.627
地方	420	18	-8.8545	19	-7.559	43	-1.0327	58	0.5871	138	3.9679	144	5.1199
点	417	36	-2.4552	31	-3.1594	12	-11.4859	38	-1.8322	152	7.1772	148	6.1928
一下	414	75	2.7343	27	-4.2217	71	2.4623	52	-0.29	96	-0.5948	93	-0.8126
（	412	0	-24.9127	1	-21.9577	0	-23.8341	13	-10.9039	205	27.1828	193	21.6517
元	410	0	-24.7917	0	-23.6166	0	-23.7183	0	-24.1098	216	33.1388	194	22.3944
味道	406	52	-0.3074	59	0.9465	75	3.4812	42	-1.0483	89	-0.9815	89	-0.9896
使用	405	5	-17.6322	7	-14.6817	158	40.8499	189	62.2178	23	-23.7165	23	-23.7582
订	402	26	-4.7699	35	-1.9287	81	5.0476	56	0.6174	114	1.2771	90	-0.8254
行李	401	32	-2.9849	44	-0.6707	93	8.6533	126	22.094	54	-7.7208	52	-8.4231
月	401	6	-16.4095	1	-21.3353	0	-23.1974	0	-23.5803	136	4.6384	258	62.0383
离	396	7	-15.2107	27	-3.7054	13	-9.9034	59	0.9806	120	2.1711	170	14.6873
从	395	63	1.3006	54	0.6109	13	-9.8597	25	-4.5444	104	0.6093	136	4.9805
只能	393	104	12.1443	7	-14.0806	124	22.503	0	-23.1097	112	1.3159	46	-10.1185
那	391	110	14.7354	87	7.3504	14	-9.0894	31	-2.7118	101	0.49	48	-9.2084
任何	389	48	-0.4138	37	-1.3507	68	2.5872	181	59.3836	45	-10.2083	10	-33.5507
一样	388	58	0.8461	38	-1.1894	108	15.3621	11	-11.1303	94	-0.3591	79	-1.616
免费	388	35	-2.0172	82	6.0035	2	-19.246	2	-19.6015	62	-4.706	205	31.6705
打电话	387	126	22.6251	44	-0.5277	32	-2.2509	9	-12.5384	118	2.2357	58	-5.7177
下次	387	6	-15.6542	50	0.3931	0	-22.3872	15	-8.6177	87	-0.7752	229	46.0596
东西	383	60	1.1426	23	-4.6123	57	1.0455	95	10.1165	83	-1.0402	65	-3.7974
选择	381	19	-6.788	28	-3.0214	18	-6.6186	65	2.1108	97	0.4107	154	10.9005
窗户	378	72	3.2515	32	-2.023	104	14.4617	38	-1.1506	97	0.4501	35	-13.9337
问	377	87	7.22	47	0.2912	35	-1.4859	27	-3.3899	137	6.4625	44	-9.7883
？	375	29	-3.065	4	-16.0496	15	-7.8689	0	-22.0508	249	64.0395	78	-1.381
回来	374	31	-2.5459	60	1.637	31	-2.1775	174	57.1174	42	-10.3625	36	-13.1096
这种	373	89	8.0879	93	10.501	18	-6.3207	63	1.9727	76	-1.5572	34	-14.0348
装修	370	22	-5.1339	35	-1.3375	32	-1.8886	44	-0.4391	96	0.5074	141	8.0524
日	369	0	-22.3116	1	-19.5269	0	-21.3455	0	-21.6978	124	4.0976	244	62.1585
客房	362	44	-0.4532	81	7.0077	4	-15.4428	89	9.323	54	-5.445	90	0.3013
1	362	0	-21.8881	2	-17.7147	0	-20.9405	0	-21.2861	197	32.8191	163	16.4057
整个	361	78	5.3891	48	0.4833	63	2.4266	91	10.1214	52	-5.9649	29	-15.7368
做	361	31	-2.2352	87	9.0879	23	-3.9787	99	13.3009	57	-4.5965	64	-3.056
居然	361	23	-4.4665	56	1.3247	14	-7.8352	15	-7.5386	187	27.6255	66	-2.6824
餐厅	357	59	1.5056	41	-0.4803	19	-5.3162	9	-11.0857	87	-0.3306	142	9.5467
时间	355	26	-3.3312	31	-1.7462	68	3.6735	56	1.3095	79	-0.8112	95	0.6872
不能	355	75	4.8519	12	-8.6652	15	-7.0661	0	-20.8743	171	20.9162	82	-0.5895
基本	354	30	-2.2899	14	-7.4876	144	39.7849	105	16.5861	35	-11.9728	26	-16.8972
算	353	4	-15.8086	1	-18.6238	5	-13.9579	127	28.3822	59	-3.7353	157	15.2509
一晚	352	26	-3.2454	20	-4.7036	105	17.2426	124	26.7609	56	-4.3938	21	-20.0175
虽然	350	14	-8.0212	74	5.4999	19	-5.0736	49	0.6082	61	-3.1763	133	7.5567
看到	346	45	0.2832	77	6.6009	19	-4.9364	25	-3.0967	71	-1.4199	109	2.5745
床	346	24	-3.6621	48	0.6445	28	-2.2031	100	15.0218	63	-2.6295	83	-0.3983
最	345	50	0.6493	65	3.3868	13	-7.7242	17	-5.9399	102	1.6372	98	1.1764
3	343	0	-20.7389	0	-19.7559	0	-19.841	0	-20.1684	191	33.6384	152	14.6298
休息	341	8	-11.5279	8	-10.7269	81	8.1352	185	74.4999	33	-11.9057	26	-15.7242
外面	340	42	-0.3971	35	-0.8748	107	19.4548	60	2.3048	56	-3.8098	40	-8.7748
第二天	337	56	1.496	50	0.9796	33	-1.1147	31	-1.5263	127	7.0398	40	-8.565
这样	337	25	-3.1012	19	-4.5847	9	-9.877	4	-14.4105	176	26.6001	104	2.1926
5	336	1	-18.6062	3	-15.0722	0	-19.4359	0	-19.7567	156	17.2746	176	26.7485
高	333	18	-5.4007	37	-0.5762	13	-7.2277	72	5.4369	57	-3.2678	136	10.0903
开	327	63	3.0562	20	-3.8986	86	10.9717	36	-0.6782	81	0.2898	41	-7.5058
她	327	123	28.5581	77	7.6759	5	-12.6169	4	-13.8737	86	0.5641	32	-11.3021
跟	324	97	14.9559	33	-0.8966	11	-7.9905	5	-12.7352	130	9.1213	48	-5.0575
稳定	321	6	-12.1429	7	-10.5389	129	35.0964	174	70.053	3	-34.304	2	-35.8934
电话	321	61	2.8308	18	-4.4325	61	3.2738	1	-17.1972	128	8.7951	52	-3.8536
年	321	2	-16.3306	0	-18.4883	0	-18.5679	0	-18.8744	97	1.8355	222	62.0346
隔壁	319	78	7.6702	18	-4.3657	127	34.0787	17	-4.9848	48	-4.7652	31	-11.1489
热水	317	34	-0.8839	37	-0.4167	84	10.9193	85	10.9842	48	-4.657	29	-11.9869
人员	315	10	-8.8368	6	-11.0578	26	-1.9403	84	10.7314	96	1.925	93	1.5171
4	315	0	-19.0454	0	-18.1427	0	-18.2208	0	-18.5215	179	33.1093	136	12.1504
朋友	313	7	-10.8965	32	-0.8648	12	-6.9488	23	-2.7481	121	7.4515	118	6.5851
如果	312	8	-10.0788	9	-8.6677	2	-15.034	8	-9.661	129	10.06	156	21.1442
出来	310	76	7.5458	58	3.019	56	2.5472	29	-1.3584	59	-1.9799	32	-9.9704
推荐	310	6	-11.5671	42	0.5278	31	-0.9699	19	-3.9097	93	1.701	119	7.1229
电视	308	39	-0.3247	16	-4.785	137	43.166	28	-1.4961	42	-5.9266	46	-4.7368
最后	307	114	25.9774	17	-4.3476	37	-0.3416	5	-11.8503	98	2.5791	36	-8.0405
；	307	7	-10.5916	2	-14.6862	0	-17.7579	0	-18.0509	122	8.3184	176	33.1811
提供	305	18	-4.3893	36	-0.3829	54	2.2945	59	3.2225	50	-3.5388	88	1.2444
出差	301	10	-8.1851	48	1.3786	63	4.5991	100	19.6506	27	-11.6714	53	-2.7217
根本	300	90	14.0005	1	-15.6394	75	8.6109	1	-15.9908	121	8.7078	12	-21.8389
很快	300	1	-16.477	37	-0.2788	12	-6.4149	185	87.4587	3	-31.7998	62	-1.2515
只是	300	25	-2.118	23	-2.2524	16	-4.5486	20	-3.2613	77	0.4277	139	15.3658
他	300	37	-0.3897	68	6.2226	6	-10.3813	8	-9.0894	144	17.5913	37	-7.1721
性价比	298	5	-11.8168	25	-1.7498	8	-8.7693	29	-1.1412	81	0.7471	150	20.7268
连	295	62	4.0688	64	5.2333	22	-2.4115	6	-10.3723	107	5.1756	34	-7.9923
所以	294	6	-10.7353	6	-10.0246	4	-11.8632	5	-11.178	112	6.5761	161	27.359
灯光	292	20	-3.2602	29	-0.9469	113	29.1327	104	23.0246	11	-21.8516	15	-18.523
里面	289	76	8.9731	32	-0.5562	25	-1.5833	12	-6.1582	88	1.8031	56	-1.7359
只有	285	65	5.4109	16	-3.9927	9	-7.5138	2	-13.8059	112	7.3969	81	1.0614
其他	285	11	-6.8653	13	-5.273	1	-14.8657	5	-10.7149	130	13.82	125	11.8082
打	284	65	5.4647	26	-1.2755	28	-0.9797	3	-12.6045	104	5.259	58	-1.2973
以后	283	16	-4.3896	19	-2.8996	14	-4.7864	6	-9.7728	150	23.6621	78	0.8189
临时	280	7	-9.2342	14	-4.6341	89	16.6406	140	50.905	23	-12.0567	7	-24.531
机场	279	6	-9.9623	14	-4.598	2	-13.2196	1	-14.7865	188	50.066	68	-0.3235
适合	278	4	-11.6803	26	-1.1655	9	-7.2044	146	56.5857	26	-10.2888	67	-0.3633
换	276	61	4.6819	22	-1.9117	23	-1.7145	12	-5.6301	130	15.154	28	-9.1823
洗澡	274	29	-0.8687	25	-1.2612	88	16.7778	53	2.9611	55	-1.3879	24	-11.0182
不到	274	29	-0.8687	42	1.0555	30	-0.5921	25	-1.3661	97	4.2873	51	-2.0159
~	271	0	-16.3843	0	-15.6077	0	-15.6749	0	-15.9336	109	7.8488	162	33.6187
可能	270	36	0.3365	18	-2.8303	7	-8.171	6	-9.1284	84	1.988	119	11.454
处理	269	22	-2.0509	10	-6.1785	102	25.5645	92	19.1059	28	-8.6195	15	-16.2226
服务态度	268	4	-11.1379	6	-8.7634	18	-2.8045	29	-0.6772	113	9.5165	98	4.9513
叫	267	50	2.3053	49	2.4766	10	-6.1421	9	-6.9117	100	5.5722	49	-2.1021
感	265	15	-4.1394	50	2.7704	79	13.1811	119	37.4764	2	-29.1056	0	-32.7282
满意	265	0	-16.0214	30	-0.4762	3	-11.3445	48	2.1705	49	-2.015	135	19.3356
慢	264	4	-10.9215	6	-8.5713	155	70.0573	44	1.4611	29	-7.802	26	-9.184
更	262	34	-0.2655	25	-1.0434	26	-0.9114	49	2.4785	57	-0.8283	71	0.6834
交通	262	0	-15.84	2	-12.2282	1	-13.5706	43	1.3462	46	-2.4613	170	41.9444
吵	261	19	-2.6297	11	-5.3196	59	5.4061	46	1.8953	79	1.6157	47	-2.2341
本来	259	14	-4.33	19	-2.2362	70	9.6462	68	8.5439	64	-0.2743	24	-9.7683
啊	259	42	1.1166	24	-1.1528	1	-13.4019	3	-11.2516	133	19.4909	56	-0.8647
手机	258	64	6.6748	33	0.3414	42	1.3671	82	15.02	24	-9.6646	13	-16.6414
旧	257	7	-8.0992	12	-4.6803	42	1.3903	19	-2.32	101	6.7495	76	1.351
拿	257	91	19.3078	45	1.957	6	-8.2888	10	-5.8984	76	1.359	29	-7.308
办理	255	37	0.5842	28	-0.554	44	1.7929	79	13.8235	44	-2.5702	23	-9.9522
送	255	34	0.334	75	12.3186	2	-11.9073	8	-6.9978	40	-3.5049	96	5.4716
水	254	79	13.3186	29	-0.4476	55	4.5275	12	-4.7624	44	-2.5261	35	-4.9044
帮	252	17	-2.9724	54	4.3758	7	-7.3351	64	7.494	50	-1.398	60	-0.4006
点评	251	0	-15.1748	2	-11.6309	0	-14.5178	0	-14.7574	98	6.4175	151	31.8392
旁边	249	52	3.4544	68	9.6798	17	-2.5588	6	-8.1001	62	0.3024	44	-2.3211
很差	247	2	-12.078	0	-14.2251	90	21.2746	0	-14.5221	145	29.0541	10	-17.9869
不太	246	2	-12.0209	4	-9.3356	169	92.1838	16	-2.9015	16	-13.2629	39	-3.3104
来说	246	9	-6.2875	42	1.6919	5	-8.5362	28	-0.5049	31	-5.7452	131	20.9831
影响	245	3	-10.8685	5	-8.4358	111	36.0749	73	11.9091	23	-9.107	30	-6.0649
新	242	19	-2.0942	41	1.6149	13	-3.7389	64	8.2219	22	-9.3697	83	3.2577
半天	240	71	10.915	12	-4.0508	88	21.0343	12	-4.2292	46	-1.6015	11	-16.4033
设计	239	26	-0.7167	49	3.5529	45	2.5052	70	11.0714	18	-11.3445	31	-5.3017
下	239	25	-0.8487	29	-0.3044	13	-3.6343	31	0.3268	79	2.6356	62	0.4465
无法	238	18	-2.252	5	-8.094	119	44.0958	0	-13.9929	74	1.8138	22	-9.0597
开始	238	61	6.9298	14	-3.1855	41	1.6977	25	-0.7339	67	0.9013	30	-5.5929
中	237	17	-2.5108	24	-0.7798	16	-2.5153	53	4.609	45	-1.6571	82	3.3589
补充	237	6	-7.8391	0	-13.6491	34	0.6667	8	-6.1884	77	2.3687	112	13.2709
快	237	45	2.2444	47	3.1051	25	-0.6661	64	8.6093	26	-7.0887	30	-5.5265
